GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0009233	menaquinone metabolic process	2	2	0.26	0.01647	4.741e-01	P	Sobic.004G044200, Sobic.004G193800	SOBIC.004G044200, SOBIC.004G193800
GO:0009234	menaquinone biosynthetic process	2	2	0.26	0.01647	4.741e-01	P	Sobic.004G044200, Sobic.004G193800	SOBIC.004G044200, SOBIC.004G193800
GO:0010541	acropetal auxin transport	2	2	0.26	0.01647	4.741e-01	P	Sobic.001G161000, Sobic.006G105600	SOBIC.001G161000, SOBIC.006G105600
GO:0015768	maltose transport	2	2	0.26	0.01647	4.741e-01	P	Sobic.001G488700, Sobic.004G190500	SOBIC.001G488700, SOBIC.004G190500
GO:0031938	regulation of chromatin silencing at telomere	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:0045004	DNA replication proofreading	2	2	0.26	0.01647	4.741e-01	P	Sobic.004G049200, Sobic.005G066900	SOBIC.004G049200, SOBIC.005G066900
GO:0071163	DNA replication preinitiation complex assembly	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:0080165	callose deposition in phloem sieve plate	2	2	0.26	0.01647	4.741e-01	P	Sobic.003G179600, Sobic.010G276700	SOBIC.003G179600, SOBIC.010G276700
GO:0090357	regulation of tryptophan metabolic process	2	2	0.26	0.01647	4.741e-01	P	Sobic.003G045600, Sobic.007G166900	SOBIC.003G045600, SOBIC.007G166900
GO:0090610	bundle sheath cell fate specification	2	2	0.26	0.01647	4.741e-01	P	Sobic.002G342800, Sobic.005G017500	SOBIC.002G342800, SOBIC.005G017500
GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:1902806	regulation of cell cycle G1/S phase transition	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:1902808	positive regulation of cell cycle G1/S phase transition	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:1902977	mitotic DNA replication preinitiation complex assembly	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:2000045	regulation of G1/S transition of mitotic cell cycle	2	2	0.26	0.01647	4.741e-01	P	Sobic.005G020100, Sobic.008G020500	SOBIC.005G020100, SOBIC.008G020500
GO:0010212	response to ionizing radiation	32	9	4.11	0.01648	4.741e-01	P	Sobic.002G351100, Sobic.002G420000, Sobic.003G103701, Sobic.003G328500, Sobic.004G307900, Sobic.008G101300, Sobic.009G192700, Sobic.010G191000, Sobic.010G269800	SOBIC.002G351100, SOBIC.002G420000, SOBIC.003G103701, SOBIC.003G328500, SOBIC.004G307900, SOBIC.008G101300, SOBIC.009G192700, SOBIC.010G191000, SOBIC.010G269800
GO:0046364	monosaccharide biosynthetic process	22	7	2.82	0.01682	4.741e-01	P	Sobic.001G178100, Sobic.001G432800, Sobic.006G271500, Sobic.008G064700, Sobic.008G075200, Sobic.008G097000, Sobic.010G090100	SOBIC.001G178100, SOBIC.001G432800, SOBIC.006G271500, SOBIC.008G064700, SOBIC.008G075200, SOBIC.008G097000, SOBIC.010G090100
GO:0016998	cell wall macromolecule catabolic process	27	8	3.47	0.01696	4.741e-01	P	Sobic.001G516000, Sobic.002G302000, Sobic.003G137600, Sobic.003G293800, Sobic.006G078200, Sobic.006G132500, Sobic.009G035900, Sobic.009G130100	SOBIC.001G516000, SOBIC.002G302000, SOBIC.003G137600, SOBIC.003G293800, SOBIC.006G078200, SOBIC.006G132500, SOBIC.009G035900, SOBIC.009G130100
GO:0006097	glyoxylate cycle	5	3	0.64	0.01728	4.741e-01	P	Sobic.002G324000, Sobic.006G050500, Sobic.006G139000	SOBIC.002G324000, SOBIC.006G050500, SOBIC.006G139000
