SOBIC.001G259700	Sobic.001G259700	GO:0003714, GO:0005634, GO:0009611, GO:0031347, GO:1903507, GO:2000022
SOBIC.001G260800	Sobic.001G260800	GO:0003824, GO:0009058, GO:0030170
SOBIC.001G267701	Sobic.001G267701	GO:0003676, GO:0008270
SOBIC.001G269100	Sobic.001G269100	GO:0004559, GO:0006013, GO:0008270, GO:0030246
SOBIC.001G277400	Sobic.001G277400	GO:0005515, GO:0008380, GO:0009507, GO:1900865
SOBIC.001G280200	Sobic.001G280200	GO:0004185, GO:0006508
SOBIC.001G280700	Sobic.001G280700	GO:0006633, GO:0045300, GO:0055114
SOBIC.001G282000	Sobic.001G282000	GO:0005215, GO:0006810, GO:0016021
SOBIC.001G282900	Sobic.001G282900	GO:0004105, GO:0006656
SOBIC.001G284100	Sobic.001G284100	GO:0000303, GO:0003950, GO:0005634, GO:0005737, GO:0006809, GO:0009414, GO:0009651, GO:0009793, GO:0009816, GO:0009867, GO:0009873, GO:0010102, GO:0010193, GO:0012501, GO:2000377
SOBIC.001G284400	Sobic.001G284400	GO:0000792, GO:0010200, GO:0032454, GO:0033169, GO:0045815, GO:0048439
SOBIC.001G287800	Sobic.001G287800	GO:0005096, GO:0005829, GO:0043547
SOBIC.001G290200	Sobic.001G290200	GO:0005515, GO:0009416
SOBIC.001G291400	Sobic.001G291400	GO:0008168
SOBIC.001G292200	Sobic.001G292200	GO:0003924, GO:0005525, GO:0005739, GO:0005774, GO:0005886, GO:0009506, GO:0046686, GO:0050832
SOBIC.001G305600	Sobic.001G305600	GO:0004084, GO:0009081
SOBIC.001G307000	Sobic.001G307000	GO:0005773, GO:0005886, GO:0016021
SOBIC.001G307200	Sobic.001G307200	GO:0003676
SOBIC.001G311000	Sobic.001G311000	GO:0005576
SOBIC.001G313600	Sobic.001G313600	GO:0005737, GO:0030001, GO:0046914, GO:0046916
SOBIC.001G314900	Sobic.001G314900	GO:0003677, GO:0005634, GO:0006355
SOBIC.001G315600	Sobic.001G315600	GO:0004674, GO:0005524, GO:0006468, GO:0016021, GO:0030246
SOBIC.001G316700	Sobic.001G316700	GO:0003677, GO:0005515, GO:0005634, GO:0006351, GO:0016491, GO:0055114
SOBIC.001G317000	Sobic.001G317000	GO:0004364, GO:0005515, GO:0005737, GO:0006749, GO:0009407
SOBIC.001G319500	Sobic.001G319500	GO:0004364, GO:0005515, GO:0005737, GO:0006749, GO:0009407
SOBIC.001G321500	Sobic.001G321500	GO:0005515, GO:0009611
SOBIC.001G326800	Sobic.001G326800	GO:0004842, GO:0005515, GO:0016567, GO:0019005, GO:0031146
SOBIC.001G326900	Sobic.001G326900	GO:0005524, GO:0006090, GO:0016301, GO:0016310, GO:0050242
SOBIC.001G329100	Sobic.001G329100	GO:0005515, GO:0006468, GO:0007165
SOBIC.001G330600	Sobic.001G330600	GO:0016021
