"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"62508","Sobic.008G191850.v3.2","seed_wt","seed_dry","OK",3.51402,7.32921,1.06053,1.3796,0.02225,0.0506293,"no"
"62510","Sobic.008G192000.v3.2","seed_wt","seed_dry","OK",15.1287,46.1199,1.6081,2.61294,1e-04,0.000431629,"yes"
"62530","Sobic.009G000700.v3.2","seed_wt","seed_dry","OK",3.328,10.4282,1.64776,1.75413,0.0041,0.0117657,"yes"
"62534","Sobic.009G001100.v3.2","seed_wt","seed_dry","OK",5.40782,15.8629,1.55254,2.13139,0.00045,0.00167836,"yes"
"62567","Sobic.009G004600.v3.2","seed_wt","seed_dry","OK",107.501,292.796,1.44555,2.10416,3e-04,0.00116681,"yes"
"62569","Sobic.009G004800.v3.2","seed_wt","seed_dry","OK",1.1663,3.06603,1.39444,1.83957,0.003,0.00896609,"yes"
"62577","Sobic.009G005500.v3.2","seed_wt","seed_dry","OK",8.92053,18.8938,1.08271,2.01757,9e-04,0.00311238,"yes"
"62584","Sobic.009G006100.v3.2","seed_wt","seed_dry","OK",120.867,250.254,1.04997,1.8454,0.0012,0.00400957,"yes"
"62598","Sobic.009G007700.v3.2","seed_wt","seed_dry","OK",71.7972,162.697,1.18019,2.24154,5e-05,0.000226883,"yes"
"62615","Sobic.009G009500.v3.2","seed_wt","seed_dry","OK",0.838705,5.22284,2.6386,2.70379,2e-04,0.000811791,"yes"
"62617","Sobic.009G009700.v3.2","seed_wt","seed_dry","OK",0,1.65877,Inf,NA,0.0028,0.00844597,"yes"
"62623","Sobic.009G010400.v3.2","seed_wt","seed_dry","OK",1.90189,7.99735,2.07209,2.06386,0.0038,0.0110066,"yes"
"62672","Sobic.009G015100.v3.2","seed_wt","seed_dry","OK",37.0594,109.773,1.56661,2.98838,5e-05,0.000226883,"yes"
"62677","Sobic.009G015400.v3.2","seed_wt","seed_dry","OK",1.27399,2.78611,1.1289,1.7162,0.0043,0.0122639,"yes"
"62681","Sobic.009G015800.v3.2","seed_wt","seed_dry","OK",58.3661,177.33,1.60323,3.02715,5e-05,0.000226883,"yes"
"62699","Sobic.009G017400.v3.2","seed_wt","seed_dry","OK",8.17023,16.5289,1.01654,1.80316,0.0026,0.00791306,"yes"
"62703","Sobic.009G017732.v3.2","seed_wt","seed_dry","OK",1.40555,20.059,3.83504,4.64117,5e-05,0.000226883,"yes"
"62704","Sobic.009G017800.v3.2","seed_wt","seed_dry","OK",55.1543,294.4,2.41623,4.57623,5e-05,0.000226883,"yes"
"62731","Sobic.009G020900.v3.2","seed_wt","seed_dry","OK",1.95285,6.01875,1.62388,2.42223,1e-04,0.000431629,"yes"
"62737","Sobic.009G021400.v3.2","seed_wt","seed_dry","OK",0,3.16673,Inf,NA,5e-05,0.000226883,"yes"
"62743","Sobic.009G022000.v3.2","seed_wt","seed_dry","OK",0.38079,2.06665,2.44023,1.93961,0.0163,0.0387509,"yes"
"62744","Sobic.009G022100.v3.2","seed_wt","seed_dry","OK",97.577,336.14,1.78445,3.39331,5e-05,0.000226883,"yes"
"62753","Sobic.009G023200.v3.2","seed_wt","seed_dry","OK",236.609,842.16,1.83159,3.33419,5e-05,0.000226883,"yes"
"62761","Sobic.009G024000.v3.2","seed_wt","seed_dry","OK",11.318,26.7628,1.24161,2.33636,5e-05,0.000226883,"yes"
"62767","Sobic.009G024400.v3.2","seed_wt","seed_dry","OK",7.89115,23.839,1.59502,2.73098,5e-05,0.000226883,"yes"
"62779","Sobic.009G025500.v3.2","seed_wt","seed_dry","OK",79.4869,609.298,2.93836,5.29004,5e-05,0.000226883,"yes"
"62783","Sobic.009G025800.v3.2","seed_wt","seed_dry","OK",28.039,81.6352,1.54176,2.88026,5e-05,0.000226883,"yes"
"62797","Sobic.009G026900.v3.2","seed_wt","seed_dry","OK",1.11673,9.5051,3.08942,2.90644,5e-05,0.000226883,"yes"
"62798","Sobic.009G027000.v3.2","seed_wt","seed_dry","OK",86.3626,199.446,1.20752,2.2871,1e-04,0.000431629,"yes"
"62812","Sobic.009G028500.v3.2","seed_wt","seed_dry","OK",1.77259,5.94854,1.74668,2.64641,5e-05,0.000226883,"yes"
"62832","Sobic.009G030600.v3.2","seed_wt","seed_dry","OK",0.575378,2.73554,2.24925,2.24895,0.0013,0.00430576,"yes"
"62862","Sobic.009G033200.v3.2","seed_wt","seed_dry","OK",42.0769,114.798,1.448,2.66413,5e-05,0.000226883,"yes"
"62870","Sobic.009G034000.v3.2","seed_wt","seed_dry","OK",1.45803,6.88805,2.24008,2.57299,1e-04,0.000431629,"yes"
"62877","Sobic.009G034600.v3.2","seed_wt","seed_dry","OK",27.01,87.0099,1.68768,3.17627,5e-05,0.000226883,"yes"
"62889","Sobic.009G036000.v3.2","seed_wt","seed_dry","OK",6.49883,121.088,4.21973,5.44335,5e-05,0.000226883,"yes"
"62890","Sobic.009G036100.v3.2","seed_wt","seed_dry","OK",51.4977,667.414,3.696,6.06291,5e-05,0.000226883,"yes"
"62900","Sobic.009G036900.v3.2","seed_wt","seed_dry","OK",94.7947,251.913,1.41005,2.73885,5e-05,0.000226883,"yes"
"62903","Sobic.009G037100.v3.2","seed_wt","seed_dry","OK",289.482,2691.66,3.21695,4.86668,5e-05,0.000226883,"yes"
"62930","Sobic.009G039900.v3.2","seed_wt","seed_dry","OK",0.854832,5.98828,2.80843,2.1363,0.004,0.0115124,"yes"
"62937","Sobic.009G040500.v3.2","seed_wt","seed_dry","OK",80.3877,165.814,1.04452,2.03137,0.00025,0.000992286,"yes"
"62940","Sobic.009G040800.v3.2","seed_wt","seed_dry","OK",10.6647,30.2902,1.506,2.73397,5e-05,0.000226883,"yes"
"62941","Sobic.009G040900.v3.2","seed_wt","seed_dry","OK",0.639019,2.54021,1.99101,1.65892,0.00485,0.0136139,"yes"
"62966","Sobic.009G043600.v3.2","seed_wt","seed_dry","OK",2.9379,6.65345,1.17932,1.42853,0.0165,0.039163,"yes"
"62974","Sobic.009G044400.v3.2","seed_wt","seed_dry","OK",0.795321,2.25897,1.50605,1.25794,0.04425,0.0908075,"no"
"62976","Sobic.009G044600.v3.2","seed_wt","seed_dry","OK",0.975914,11.1995,3.52054,3.51768,5e-05,0.000226883,"yes"
"62981","Sobic.009G045100.v3.2","seed_wt","seed_dry","OK",30.9873,112.98,1.86632,2.79501,5e-05,0.000226883,"yes"
"62992","Sobic.009G046200.v3.2","seed_wt","seed_dry","OK",4.83288,43.7723,3.17906,4.78109,5e-05,0.000226883,"yes"
"62996","Sobic.009G046600.v3.2","seed_wt","seed_dry","OK",209.235,593.293,1.50362,2.6021,5e-05,0.000226883,"yes"
"63035","Sobic.009G050000.v3.2","seed_wt","seed_dry","OK",9.80082,20.2333,1.04576,1.94382,0.00125,0.00415803,"yes"
"63036","Sobic.009G050100.v3.2","seed_wt","seed_dry","OK",68.0182,145.861,1.1006,2.12682,2e-04,0.000811791,"yes"
"63038","Sobic.009G050300.v3.2","seed_wt","seed_dry","OK",508.403,1020.5,1.00523,1.78342,0.00145,0.0047399,"yes"
"63040","Sobic.009G050500.v3.2","seed_wt","seed_dry","OK",107.784,222.89,1.04819,1.99129,0.00065,0.00233178,"yes"
"63061","Sobic.009G052600.v3.2","seed_wt","seed_dry","OK",212.602,593.759,1.48172,2.78873,5e-05,0.000226883,"yes"
"63081","Sobic.009G054500.v3.2","seed_wt","seed_dry","OK",1.52665,9.82228,2.68569,3.46717,5e-05,0.000226883,"yes"
"63083","Sobic.009G054700.v3.2","seed_wt","seed_dry","OK",24.855,54.7609,1.13961,2.18155,0.00015,0.000624855,"yes"
"63085","Sobic.009G054900.v3.2","seed_wt","seed_dry","OK",0.311563,2.62308,3.07367,2.42636,0.00295,0.00883672,"yes"
"63095","Sobic.009G055800.v3.2","seed_wt","seed_dry","OK",2.19046,4.90179,1.16207,1.36486,0.02025,0.0467124,"yes"
"63113","Sobic.009G057400.v3.2","seed_wt","seed_dry","OK",0.89178,7.11105,2.9953,2.2691,0.0035,0.0102569,"yes"
"63128","Sobic.009G059000.v3.2","seed_wt","seed_dry","OK",0.711911,3.50874,2.30118,2.29153,0.00085,0.00295868,"yes"
"63131","Sobic.009G059300.v3.2","seed_wt","seed_dry","OK",17.072,43.354,1.34453,2.45154,5e-05,0.000226883,"yes"
"63135","Sobic.009G059700.v3.2","seed_wt","seed_dry","OK",64.2006,165.833,1.36907,2.64527,5e-05,0.000226883,"yes"
"63162","Sobic.009G062500.v3.2","seed_wt","seed_dry","OK",10.9101,43.0381,1.97995,3.67631,5e-05,0.000226883,"yes"
"63164","Sobic.009G062701.v3.2","seed_wt","seed_dry","OK",1.28587,4.82484,1.90774,1.75895,0.0017,0.00545001,"yes"
"63170","Sobic.009G063301.v3.2","seed_wt","seed_dry","OK",114.166,673.062,2.55961,4.31065,5e-05,0.000226883,"yes"
"63177","Sobic.009G064000.v3.2","seed_wt","seed_dry","OK",20.058,47.31,1.23797,1.98494,0.0015,0.00488491,"yes"
"63189","Sobic.009G065000.v3.2","seed_wt","seed_dry","OK",4.85339,21.5914,2.1534,3.2944,5e-05,0.000226883,"yes"
"63192","Sobic.009G065300.v3.2","seed_wt","seed_dry","OK",2.07882,5.64055,1.44007,1.43614,0.0231,0.0522948,"no"
"63198","Sobic.009G065900.v3.2","seed_wt","seed_dry","OK",20.1152,49.6061,1.30223,2.45245,5e-05,0.000226883,"yes"
"63206","Sobic.009G066700.v3.2","seed_wt","seed_dry","OK",3.73683,17.0291,2.18811,2.25738,3e-04,0.00116681,"yes"
"63209","Sobic.009G066900.v3.2","seed_wt","seed_dry","OK",78.9369,290.527,1.8799,3.37333,5e-05,0.000226883,"yes"
"63222","Sobic.009G068100.v3.2","seed_wt","seed_dry","OK",74.6455,314.205,2.07358,2.53823,0.00015,0.000624855,"yes"
"63224","Sobic.009G068300.v3.2","seed_wt","seed_dry","OK",2.18837,4.57367,1.06349,1.30711,0.02325,0.0525841,"no"
"63235","Sobic.009G069300.v3.2","seed_wt","seed_dry","OK",1.14743,3.26614,1.50918,1.89793,0.00265,0.00804547,"yes"
"63270","Sobic.009G072100.v3.2","seed_wt","seed_dry","OK",43.2657,91.7874,1.08507,2.04407,0.00075,0.00264828,"yes"
"63329","Sobic.009G077500.v3.2","seed_wt","seed_dry","OK",0.757853,5.13968,2.76169,2.94979,1e-04,0.000431629,"yes"
"63333","Sobic.009G077901.v3.2","seed_wt","seed_dry","OK",0,413.465,Inf,NA,5e-05,0.000226883,"yes"
"63345","Sobic.009G079300.v3.2","seed_wt","seed_dry","OK",2.05643,6.96115,1.75918,2.66374,5e-05,0.000226883,"yes"
