"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.004G034100.v3.2",157.247617998535,2.02923520074786,0.29384505408124,6.9058000894132,4.99212578621598e-12,1.44972569271535e-10
"Sobic.004G035601.v3.2",11.2278341820675,2.1128402437675,0.607664101743545,3.47698710143517,0.000507082211675487,0.00225423277038676
"Sobic.004G035700.v3.2",1.94021031337727,3.98237531893741,1.53912925306729,2.58742097910299,0.0096697372097643,0.0284600360927484
"Sobic.004G037300.v3.2",1377.86036463881,2.52116440117725,0.432107040410741,5.8345830208662,5.39252529138333e-09,8.54905136335363e-08
"Sobic.004G037401.v3.2",38.8970412718585,3.40161576090415,0.657154465595031,5.17628037089287,2.26353226867749e-07,2.50278184835303e-06
"Sobic.004G037800.v3.2",278.301530966327,1.07824786819544,0.349501745057822,3.08510009876216,0.00203483657578267,0.0074752351491546
"Sobic.004G041600.v3.2",81.9115179276905,1.4293258906878,0.416599324699006,3.43093664811024,0.000601501057123686,0.00261785241978407
"Sobic.004G042100.v3.2",9339.67431696247,1.35440039871988,0.222554495799266,6.08570226297062,1.15981800781689e-09,2.12620708403696e-08
"Sobic.004G042300.v3.2",2116.88468260921,1.30493664089661,0.328035378434481,3.97803629329344,6.94867672377754e-05,0.000399215522676807
"Sobic.004G043001.v3.2",77.0503832251391,1.35658639890991,0.273567259150813,4.95887703492341,7.09018251237675e-07,6.98102644850531e-06
"Sobic.004G044300.v3.2",88.6673341159462,1.8391938636263,0.726196035875405,2.53264101257343,0.0113206825473984,0.0324634675312129
"Sobic.004G047900.v3.2",4310.17091267806,2.13918394515841,0.343567175801015,6.22639208815854,4.77298703242547e-10,9.48530050087942e-09
"Sobic.004G049100.v3.2",526.932758685707,1.12193454699796,0.112098900467468,10.0084348938244,1.39948958326819e-23,2.18786871517593e-21
"Sobic.004G053700.v3.2",1709.81481704721,1.62765075219958,0.249597341724271,6.52110611817989,6.97907844264826e-11,1.63115670578174e-09
"Sobic.004G054200.v3.2",196.618665017863,1.22316677676225,0.408384522575085,2.9951349993617,0.00274323400055999,0.00968200235491762
"Sobic.004G055200.v3.2",7905.34265144809,1.81895449335923,0.167104432588923,10.8851361102662,1.35695764000371e-27,3.07941838626649e-25
"Sobic.004G056300.v3.2",151.322666258653,1.63092433314005,0.416959895249233,3.91146571102525,9.17376822095936e-05,0.000507769153693541
"Sobic.004G058000.v3.2",79.1477937976696,1.17483776162261,0.233625776367344,5.02871635095327,4.93774176262794e-07,5.03982782736127e-06
"Sobic.004G063750.v3.2",26.7353871274732,1.71794653395067,0.448958876938069,3.82651200855453,0.000129971811870307,0.000689166532133112
"Sobic.004G065200.v3.2",2480.43680615994,1.56245629319001,0.0896252754441197,17.4332105028138,4.61789964661793e-68,1.08289746713191e-64
"Sobic.004G065650.v3.2",270.682656282105,1.10149248860444,0.319638545990582,3.44605649857041,0.000568831418732019,0.00248902443214415
"Sobic.004G065800.v3.2",75.8544039350798,1.28456606669986,0.461796349603246,2.78167219771982,0.00540796326975572,0.0173721559829824
"Sobic.004G065900.v3.2",709.034753670761,1.70933307166893,0.254699037830708,6.71118778550344,1.93046478164333e-11,4.98836354044476e-10
"Sobic.004G067600.v3.2",27.3628430489639,1.64255787721747,0.501430160342859,3.27574607018921,0.00105383265668041,0.00424307496909239
"Sobic.004G071200.v3.2",2281.39113185082,1.36661264182043,0.34617942616504,3.94770034995928,7.89054783790367e-05,0.000445326947770978
"Sobic.004G074500.v3.2",654.136590744377,1.08852094613426,0.280019318844815,3.88730659950469,0.000101362690641237,0.000553746090981246
"Sobic.004G075000.v3.2",169.977074548986,3.71979482148078,1.32587086698952,2.80554834870671,0.00502310449349211,0.0163071251092372
"Sobic.004G075800.v3.2",2524.83152969714,3.85764911677428,0.630618757693209,6.117244483633,9.52072439779298e-10,1.77425950035692e-08
"Sobic.004G076100.v3.2",34.3660674886115,1.18383926207542,0.335904804379371,3.52432965126153,0.000424555702834874,0.00193411000125843
"Sobic.004G078900.v3.2",461.569761955901,1.26371154962189,0.316668034050071,3.99065081959638,6.58922316792644e-05,0.000380662574308048
"Sobic.004G081501.v3.2",418.95524836519,2.25734419500083,0.399217297443316,5.65442481940889,1.56369022242792e-08,2.22233549793544e-07
"Sobic.004G081601.v3.2",525.790530245551,1.13854006508019,0.15113937180354,7.53304748785204,4.95695735614754e-14,2.04529002935472e-12
"Sobic.004G083600.v3.2",1476.32251722789,1.34985243913819,0.332459084930564,4.06020620378029,4.90293961131528e-05,0.00029377268157715
"Sobic.004G084900.v3.2",406.346846538683,1.30190459001837,0.41527367321441,3.13505207286805,0.00171823608440358,0.0064631952165642
"Sobic.004G087800.v3.2",352.545996232353,1.54690594836497,0.388231996132462,3.98448856296012,6.76256138788271e-05,0.000389529700997298
"Sobic.004G088200.v3.2",1112.91285593296,1.25013428944161,0.25549385776262,4.89301112907032,9.93047886915729e-07,9.43747637210693e-06
"Sobic.004G089450.v3.2",25.2546666037948,1.08184013638993,0.437052471119836,2.47530950601421,0.0133120756057818,0.0372293587305406
