"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.009G209150.v3.2",62.8851863314274,-2.82998968502788,0.543496220865176,-5.20700894759286,1.9190884295165e-07,8.27778155145576e-07
"Sobic.009G209200.v3.2",492.584618639653,-1.26825298639691,0.189383595132481,-6.69674152879881,2.13118079018843e-11,1.49898272392248e-10
"Sobic.009G209300.v3.2",681.821797929975,-1.03691585608695,0.0901111492553723,-11.50707614602,1.21529149569431e-30,4.24272750023595e-29
"Sobic.009G209400.v3.2",944.800381759443,-3.28443784232637,0.338635581157196,-9.69903348934179,3.04368093393537e-22,5.78823802260725e-21
"Sobic.009G210250.v3.2",22.7599441579778,-1.33603993454183,0.48595675167914,-2.7492980186516,0.00597230582256694,0.0121241695097767
"Sobic.009G210300.v3.2",107.852123312853,-2.64059532105238,0.244442983297204,-10.8024999753903,3.34957194349261e-27,9.07673900494878e-26
"Sobic.009G210500.v3.2",1133.83219783562,-1.53878191722615,0.228906666978481,-6.72231148851079,1.78864069044479e-11,1.26674782560943e-10
"Sobic.009G212500.v3.2",41.8143773287384,-1.91743493396434,0.302341535147897,-6.34195011620346,2.26874784236301e-10,1.41350970109186e-09
"Sobic.009G212700.v3.2",35.8897104355531,-2.44951591502085,0.865846905823536,-2.82904044415454,0.00466877984521828,0.00970588055768102
"Sobic.009G212800.v3.2",671.838277935904,-1.98201741631862,0.193255258994744,-10.2559559135854,1.11269540243904e-24,2.55040095557452e-23
"Sobic.009G212900.v3.2",40.7281779264557,-1.30992497726245,0.34608602533267,-3.78496928907575,0.000153727561188424,0.000423614348321895
"Sobic.009G213000.v3.2",711.985232813091,-2.48269041547535,0.244494296047466,-10.1543899207913,3.16785217428037e-24,7.01449489547251e-23
"Sobic.009G213150.v3.2",24.014057994645,-2.26891040731684,0.392757988048723,-5.77686635627479,7.61046867683820e-09,3.94148384080898e-08
"Sobic.009G213300.v3.2",450.777221402271,-1.20185949950079,0.16833777678691,-7.1395709414777,9.36226903973256e-13,7.58952075235043e-12
"Sobic.009G213400.v3.2",897.139591229704,-2.49221625072285,0.195336680250993,-12.7585676562156,2.79289344736284e-37,1.51222006149003e-35
"Sobic.009G213800.v3.2",588.833714287639,-2.30597380462355,0.281954431251963,-8.17853365305992,2.87318761443802e-16,3.24358241430086e-15
"Sobic.009G215700.v3.2",29612.6118705629,-2.06465314473863,0.464476942613643,-4.44511439711234,8.78451106226243e-06,2.97169767716309e-05
"Sobic.009G216200.v3.2",6.86349399329249,-2.02070085811577,0.911923709133351,-2.21586612770069,0.0267006719421128,0.0472397769866099
"Sobic.009G217000.v3.2",1554.80392836592,-2.29764493245511,0.186670131961729,-12.3085836406125,8.14398267144371e-35,3.7333525674508e-33
"Sobic.009G217600.v3.2",41.0203605735356,-1.7055336378423,0.461075677267117,-3.69903189851896,0.000216423402421618,0.000580765137394162
"Sobic.009G218450.v3.2",49.4405655716916,-1.23903094856838,0.369522649846968,-3.35305819299981,0.000799239004709984,0.00193289749858102
"Sobic.009G219900.v3.2",307.280015615821,-1.26789472516246,0.229302113945682,-5.52936343824026,3.21394879320464e-08,1.54393990824455e-07
"Sobic.009G222000.v3.2",48.3936058727196,-2.04843393061823,0.329878216364058,-6.20966717110398,5.30969381616686e-10,3.17773270995913e-09
"Sobic.009G222100.v3.2",267.589685393053,-3.5216389013524,0.281418850312068,-12.513869975118,6.26937421786884e-36,3.101935033279e-34
"Sobic.009G222800.v3.2",89.0193478450662,-1.62981867337482,0.34371321440001,-4.74179811858515,2.11829656427192e-06,7.8792944270786e-06
"Sobic.009G223700.v3.2",2.52605297210242,-3.52234601742597,1.34438625661406,-2.62004018569579,0.00879194059267195,0.0172372972048854
"Sobic.009G225100.v3.2",428.790483683014,-1.07593371041049,0.361108815580913,-2.97952767694038,0.00288693148373297,0.00626342124356884
"Sobic.009G225200.v3.2",716.486068984169,-1.06948983167504,0.206263013708907,-5.18507808280345,2.15924381214462e-07,9.24419210459705e-07
"Sobic.009G225600.v3.2",540.527959292091,-2.38839708079073,0.153648073666118,-15.5445950203111,1.73113452879626e-54,2.14130894710631e-52
"Sobic.009G226250.v3.2",17.5943354864701,-1.79102747000768,0.528821959210857,-3.3868250718642,0.000707064555039524,0.00172554056773273
"Sobic.009G227700.v3.2",1172.67329491171,-1.73555598136768,0.118055614737808,-14.7011727076447,6.3352978126233e-49,6.04000137305152e-47
"Sobic.009G227800.v3.2",266.141585767326,-1.43462834980477,0.370945891691354,-3.86748682742781,0.000109962766382285,0.000310560132553138
"Sobic.009G228201.v3.2",41.617392100165,-5.11363999220912,0.435104233163672,-11.7526780997452,6.84156163731091e-32,2.62125893599347e-30
"Sobic.009G228400.v3.2",2466.55357758247,-4.15013318960235,0.291429710097645,-14.2405974607456,5.12866969585556e-46,4.06567497961235e-44
"Sobic.009G228500.v3.2",751.320129608126,-1.00963235277295,0.166541553375171,-6.06234499625767,1.34151072153058e-09,7.64594502001254e-09
"Sobic.009G229200.v3.2",291.36268124265,-1.29952982726944,0.117883881956171,-11.023812634136,2.93364309246537e-28,8.71498507499779e-27
"Sobic.009G229700.v3.2",34693.6242947084,-1.75485713984548,0.600111194029184,-2.92421997340736,0.00345320622849607,0.00737326332880593
"Sobic.009G229900.v3.2",72.8701114316888,-2.31925160716253,0.289177325045569,-8.02017103795072,1.05598023205027e-15,1.13411170356088e-14
"Sobic.009G230100.v3.2",556.483486225216,-2.70776983233115,0.233256472983492,-11.6085517271916,3.728776179926e-31,1.35965298647187e-29
"Sobic.009G230600.v3.2",17.0141627376109,-1.39266034314888,0.540011555727973,-2.57894544732747,0.00991024357281502,0.0191989644102527
"Sobic.009G231200.v3.2",1399.29395800102,-2.57218232790961,0.27414673635182,-9.38250209409263,6.44253835131518e-21,1.09917671264977e-19
"Sobic.009G231300.v3.2",37488.258198525,-2.10913334414413,0.0870850668859452,-24.2192309148301,1.39552123384172e-129,1.90701299274075e-126
"Sobic.009G231400.v3.2",2220.52494409823,-2.656320441738,0.328599948646562,-8.08375184682424,6.28040622850293e-16,6.88684820555402e-15
"Sobic.009G231600.v3.2",152.010764513532,-1.13037485860791,0.50746903985432,-2.22747551049105,0.0259155107422775,0.0459782016550936
"Sobic.009G233300.v3.2",927.080877538564,-1.5757937056375,0.100415376211065,-15.6927530931648,1.69540158188368e-55,2.19157383762684e-53
"Sobic.009G233400.v3.2",5854.08916810099,-1.30837629565164,0.143061495082595,-9.14555167270038,5.9326278835173e-20,9.3133819679046e-19
"Sobic.009G234100.v3.2",35.2466479153276,-1.25474234235938,0.362014065941031,-3.46600439156353,0.000528254651223188,0.00132234156718003
"Sobic.009G234800.v3.2",13043.8515239901,-1.58114225441282,0.0677652513245655,-23.3326406012994,2.06820140539303e-120,2.19819169372458e-117
"Sobic.009G234900.v3.2",20.0078264916057,-2.66390050154208,0.56955837698706,-4.67713338821211,2.90913035440399e-06,1.05970187586102e-05
"Sobic.009G236200.v3.2",16.9154797404099,-1.68520122821161,0.417707900621625,-4.03440113462954,5.47417323120592e-05,0.000162909270449957
"Sobic.009G236300.v3.2",17.3052734469607,-4.95010709912268,0.650138519553034,-7.61392680213109,2.65891417452449e-14,2.50748800743771e-13
"Sobic.009G236400.v3.2",4212.70249040252,-1.9310426336177,0.276177892463355,-6.99202465625998,2.70947247028225e-12,2.10429584518782e-11
"Sobic.009G237000.v3.2",1297.43924353067,-2.25121875162458,0.282151505159895,-7.97875861179197,1.47812321791519e-15,1.55890121222023e-14
"Sobic.009G237100.v3.2",532.550760845734,-1.02816708921567,0.170152556169983,-6.04261911991804,1.51632320488203e-09,8.5792442844045e-09
"Sobic.009G237600.v3.2",815.096868528921,-2.30081285047701,0.278105131302536,-8.27317654910176,1.30436332256753e-16,1.52283621919123e-15
"Sobic.009G238100.v3.2",1025.38566508302,-1.15548933022195,0.198029548419586,-5.83493392498019,5.3811887737649e-09,2.84495162565828e-08
"Sobic.009G238200.v3.2",69.8949738012781,-2.55929897344227,0.357415914897461,-7.16056243375874,8.03467266877445e-13,6.55776454993801e-12
