"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"30892","Sobic.009G241900.v3.2","seed_wt","seed_plasma","OK",68.7076,258.066,1.9092,3.58517,5e-05,0.000226883,"yes"
"30901","Sobic.009G242600.v3.2","seed_wt","seed_plasma","OK",2.54896,5.82191,1.19158,1.52525,0.01245,0.0307617,"yes"
"30948","Sobic.009G247300.v3.2","seed_wt","seed_plasma","OK",6.21129,16.3642,1.39758,2.0104,0.0011,0.00371353,"yes"
"30954","Sobic.009G248000.v3.2","seed_wt","seed_plasma","OK",2.01079,5.14101,1.35429,1.91466,0.00145,0.0047399,"yes"
"30964","Sobic.009G249100.v3.2","seed_wt","seed_plasma","OK",19.4818,42.0908,1.11138,1.8861,0.00125,0.00415803,"yes"
"30996","Sobic.009G252400.v3.2","seed_wt","seed_plasma","OK",1.07702,2.8873,1.42267,1.38987,0.02205,0.0502429,"no"
"30997","Sobic.009G252500.v3.2","seed_wt","seed_plasma","OK",3.75409,10.1816,1.43943,2.07872,3e-04,0.00116681,"yes"
"30998","Sobic.009G252600.v3.2","seed_wt","seed_plasma","OK",4.83076,10.8124,1.16236,1.53137,0.01635,0.0388552,"yes"
"31010","Sobic.009G253800.v3.2","seed_wt","seed_plasma","OK",0.738788,2.35845,1.67461,1.47986,0.0231,0.0522948,"no"
"31023","Sobic.009G255100.v3.2","seed_wt","seed_plasma","OK",15.6098,38.902,1.31739,2.47521,5e-05,0.000226883,"yes"
"31027","Sobic.009G255500.v3.2","seed_wt","seed_plasma","OK",57.9843,232.231,2.00182,3.28037,5e-05,0.000226883,"yes"
"31045","Sobic.009G257300.v3.2","seed_wt","seed_plasma","OK",6.26602,12.8588,1.03714,1.73496,0.00365,0.0106357,"yes"
"31050","Sobic.009G257800.v3.2","seed_wt","seed_plasma","OK",9.61846,21.1901,1.13951,2.15339,2e-04,0.000811791,"yes"
"31053","Sobic.009G258100.v3.2","seed_wt","seed_plasma","OK",36.8332,96.2536,1.38583,2.39492,1e-04,0.000431629,"yes"
"31056","Sobic.009G258300.v3.2","seed_wt","seed_plasma","OK",33.6534,121.188,1.84842,3.27822,5e-05,0.000226883,"yes"
"31087","Sobic.010G000600.v3.2","seed_wt","seed_plasma","OK",16.0033,50.8053,1.66661,3.18446,5e-05,0.000226883,"yes"
"31154","Sobic.010G007500.v3.2","seed_wt","seed_plasma","OK",3.35378,6.87049,1.03462,1.36049,0.02245,0.0510188,"no"
"31157","Sobic.010G007800.v3.2","seed_wt","seed_plasma","OK",38.8279,133.833,1.78526,2.66036,5e-05,0.000226883,"yes"
"31245","Sobic.010G016500.v3.2","seed_wt","seed_plasma","OK",9.26718,29.5667,1.67377,2.24198,8e-04,0.00280389,"yes"
"31292","Sobic.010G021300.v3.2","seed_wt","seed_plasma","OK",55.3646,218.177,1.97846,3.61641,5e-05,0.000226883,"yes"
"31306","Sobic.010G022600.v3.2","seed_wt","seed_plasma","OK",0.205896,1.61005,2.96712,2.11126,0.00985,0.0251365,"yes"
"31314","Sobic.010G023200.v3.2","seed_wt","seed_plasma","OK",19.794,44.1285,1.15664,1.64234,0.00785,0.02065,"yes"
"31329","Sobic.010G024600.v3.2","seed_wt","seed_plasma","OK",16.2562,32.5934,1.00359,1.89175,0.00135,0.00445216,"yes"
"31392","Sobic.010G030900.v3.2","seed_wt","seed_plasma","OK",1.15091,2.47279,1.10337,1.31913,0.02755,0.0608164,"no"
"31394","Sobic.010G031100.v3.2","seed_wt","seed_plasma","OK",647.793,1462.72,1.17505,1.64444,0.00345,0.0101287,"yes"
"31395","Sobic.010G031300.v3.2","seed_wt","seed_plasma","OK",48.0961,143.21,1.57414,1.19723,0.04385,0.0901329,"no"
"31396","Sobic.010G031400.v3.2","seed_wt","seed_plasma","OK",8.81634,19.8529,1.1711,1.48113,0.0099,0.0252478,"yes"
"31401","Sobic.010G031900.v3.2","seed_wt","seed_plasma","OK",1095.26,2672.36,1.28684,2.09057,0.00035,0.00134022,"yes"
"31402","Sobic.010G032000.v3.2","seed_wt","seed_plasma","OK",1139.83,2769.3,1.2807,2.1213,0.00025,0.000992286,"yes"
"31403","Sobic.010G032100.v3.2","seed_wt","seed_plasma","OK",248.758,833.258,1.74402,3.1462,5e-05,0.000226883,"yes"
"31440","Sobic.010G035801.v3.2","seed_wt","seed_plasma","OK",2.48597,5.29136,1.08983,1.5595,0.00875,0.0226929,"yes"
"31442","Sobic.010G036000.v3.2","seed_wt","seed_plasma","OK",5.01843,13.0316,1.37671,1.80486,0.00365,0.0106357,"yes"
"31451","Sobic.010G036800.v3.2","seed_wt","seed_plasma","OK",13.2905,38.0266,1.51661,2.22696,4e-04,0.00151008,"yes"
"31498","Sobic.010G041400.v3.2","seed_wt","seed_plasma","OK",14.3613,31.2027,1.11949,1.96734,0.00065,0.00233178,"yes"
"31503","Sobic.010G041900.v3.2","seed_wt","seed_plasma","OK",114.843,523.28,2.18792,3.40898,5e-05,0.000226883,"yes"
"31514","Sobic.010G043000.v3.2","seed_wt","seed_plasma","OK",10.9996,25.1061,1.19058,2.20855,0.00025,0.000992286,"yes"
