"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"167049","Sobic.009G206900.v3.2","WT_seed","plasma_seed","OK",2.88793,0.167894,-4.10441,-5.09501,5e-05,0.00014463,"yes"
"167054","Sobic.009G207400.v3.2","WT_seed","plasma_seed","OK",1.00471,0.37872,-1.40758,-2.18953,0.00045,0.00114794,"yes"
"167056","Sobic.009G207600.v3.2","WT_seed","plasma_seed","OK",1.72132,0.498313,-1.78839,-2.36708,2e-04,0.00053758,"yes"
"167063","Sobic.009G208300.v3.2","WT_seed","plasma_seed","OK",0.850731,0.327068,-1.37911,-1.59531,0.0076,0.0155879,"yes"
"167067","Sobic.009G208700.v3.2","WT_seed","plasma_seed","OK",8.74258,1.36402,-2.6802,-4.01208,5e-05,0.00014463,"yes"
"167079","Sobic.009G209900.v3.2","WT_seed","plasma_seed","OK",65.7673,32.3887,-1.02188,-2.74816,5e-05,0.00014463,"yes"
"167109","Sobic.009G212800.v3.2","WT_seed","plasma_seed","OK",18.3524,7.0201,-1.38641,-3.31454,5e-05,0.00014463,"yes"
"167133","Sobic.009G215000.v3.2","WT_seed","plasma_seed","OK",8.22733,3.74145,-1.13683,-2.15625,3e-04,0.000787139,"yes"
"167148","Sobic.009G216300.v3.2","WT_seed","plasma_seed","OK",7.58693,2.35896,-1.68537,-3.57794,5e-05,0.00014463,"yes"
"167153","Sobic.009G216800.v3.2","WT_seed","plasma_seed","OK",41.2564,15.6922,-1.39457,-3.75756,5e-05,0.00014463,"yes"
"167164","Sobic.009G217800.v3.2","WT_seed","plasma_seed","OK",2.89865,0.114265,-4.66492,-3.56884,0.01485,0.0288609,"yes"
"167172","Sobic.009G218900.v3.2","WT_seed","plasma_seed","OK",49.6312,0.442908,-6.8081,-10.7337,5e-05,0.00014463,"yes"
"167180","Sobic.009G219700.v3.2","WT_seed","plasma_seed","OK",4.62568,0.868898,-2.41241,-2.7506,0.00025,0.00066314,"yes"
"167199","Sobic.009G221500.v3.2","WT_seed","plasma_seed","OK",0.667764,0.0780521,-3.09683,-2.60598,0.00455,0.00973913,"yes"
"167202","Sobic.009G221800.v3.2","WT_seed","plasma_seed","OK",2.48395,0.0582853,-5.41336,-3.87053,0.01725,0.0331094,"yes"
"167237","Sobic.009G225300.v3.2","WT_seed","plasma_seed","OK",15.5184,2.51889,-2.62312,-3.82681,5e-04,0.0012665,"yes"
"167238","Sobic.009G225500.v3.2","WT_seed","plasma_seed","OK",6.57633,1.69201,-1.95854,-4.00882,5e-05,0.00014463,"yes"
"167252","Sobic.009G226900.v3.2","WT_seed","plasma_seed","OK",1.2061,0.248076,-2.2815,-2.84478,1e-04,0.000279923,"yes"
"167257","Sobic.009G227400.v3.2","WT_seed","plasma_seed","OK",206.177,95.8307,-1.10533,-3.13375,5e-05,0.00014463,"yes"
"167259","Sobic.009G227600.v3.2","WT_seed","plasma_seed","OK",2.66664,0.525058,-2.34447,-3.64721,5e-05,0.00014463,"yes"
"167275","Sobic.009G229100.v3.2","WT_seed","plasma_seed","OK",2.25555,1.11454,-1.01703,-1.46077,0.01555,0.0301115,"yes"
"167288","Sobic.009G230400.v3.2","WT_seed","plasma_seed","OK",1.50808,0.392497,-1.94196,-2.54478,5e-05,0.00014463,"yes"
"167302","Sobic.009G231800.v3.2","WT_seed","plasma_seed","OK",16.8465,6.89734,-1.28834,-3.54138,5e-05,0.00014463,"yes"
"167306","Sobic.009G232200.v3.2","WT_seed","plasma_seed","OK",55.5392,8.52984,-2.70292,-6.35813,5e-05,0.00014463,"yes"
"167315","Sobic.009G233100.v3.2","WT_seed","plasma_seed","OK",0.751882,0.163806,-2.19852,-1.63743,0.028,0.0515393,"no"
