"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"64702","Sobic.009G210800.v3.2","seed_wt","seed_dry","OK",1.90231,0.680674,-1.48272,-1.78421,0.0044,0.0125137,"yes"
"64708","Sobic.009G211400.v3.2","seed_wt","seed_dry","OK",2.65099,0.955825,-1.47171,-1.59306,0.0087,0.0225789,"yes"
"64738","Sobic.009G214200.v3.2","seed_wt","seed_dry","OK",9.43326,3.85743,-1.29012,-1.97413,0.00145,0.0047399,"yes"
"64746","Sobic.009G215000.v3.2","seed_wt","seed_dry","OK",7.83173,2.70408,-1.5342,-1.76485,0.00285,0.00857374,"yes"
"64761","Sobic.009G216300.v3.2","seed_wt","seed_dry","OK",6.10635,2.44508,-1.32043,-1.83228,0.0031,0.00922889,"yes"
"64766","Sobic.009G216800.v3.2","seed_wt","seed_dry","OK",31.7576,3.88338,-3.03172,-4.63582,5e-05,0.000226883,"yes"
"64777","Sobic.009G217800.v3.2","seed_wt","seed_dry","OK",2.03266,0,-Inf,NA,5e-05,0.000226883,"yes"
"64785","Sobic.009G218900.v3.2","seed_wt","seed_dry","OK",36.9207,0.720686,-5.67892,-6.35685,5e-05,0.000226883,"yes"
"64797","Sobic.009G220100.v3.2","seed_wt","seed_dry","OK",7.79872,3.43542,-1.18275,-1.7312,0.003,0.00896609,"yes"
"64811","Sobic.009G221400.v3.2","seed_wt","seed_dry","OK",1.40351,0.281656,-2.31703,-1.59865,0.03495,0.0743632,"no"
"64813","Sobic.009G221600.v3.2","seed_wt","seed_dry","OK",5.74026,2.14776,-1.41828,-1.55957,0.01165,0.0290512,"yes"
"64815","Sobic.009G221800.v3.2","seed_wt","seed_dry","OK",2.1941,0,-Inf,NA,5e-05,0.000226883,"yes"
"64819","Sobic.009G222200.v3.2","seed_wt","seed_dry","OK",5.99085,0.997187,-2.58683,-3.55577,5e-05,0.000226883,"yes"
"64844","Sobic.009G224800.v3.2","seed_wt","seed_dry","OK",79.2452,17.4995,-2.17901,-4.13076,5e-05,0.000226883,"yes"
"64851","Sobic.009G225500.v3.2","seed_wt","seed_dry","OK",6.71647,0.503761,-3.73689,-3.66307,5e-05,0.000226883,"yes"
"64855","Sobic.009G225900.v3.2","seed_wt","seed_dry","OK",38.8009,6.43312,-2.5925,-3.08428,5e-05,0.000226883,"yes"
"64860","Sobic.009G226300.v3.2","seed_wt","seed_dry","OK",1.77149,0.714696,-1.30956,-1.18854,0.04895,0.0987889,"no"
"64866","Sobic.009G227000.v3.2","seed_wt","seed_dry","OK",1.56884,0.449734,-1.80256,-1.70979,0.01325,0.0324475,"yes"
"64872","Sobic.009G227600.v3.2","seed_wt","seed_dry","OK",2.00716,0,-Inf,NA,5e-05,0.000226883,"yes"
"64888","Sobic.009G229100.v3.2","seed_wt","seed_dry","OK",1.60818,0,-Inf,NA,5e-05,0.000226883,"yes"
"64895","Sobic.009G229800.v3.2","seed_wt","seed_dry","OK",9.23948,4.47227,-1.04681,-1.53237,0.00775,0.0204195,"yes"
"64918","Sobic.009G232100.v3.2","seed_wt","seed_dry","OK",9.81898,2.21974,-2.14518,-3.01983,5e-05,0.000226883,"yes"
"64919","Sobic.009G232200.v3.2","seed_wt","seed_dry","OK",45.1963,0.431266,-6.71148,-4.29405,0.0087,0.0225789,"yes"
"64920","Sobic.009G232266.v3.2","seed_wt","seed_dry","OK",24.3039,4.49816,-2.43378,-3.36387,5e-05,0.000226883,"yes"
