"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"29514","Sobic.009G109000.v3.2","seed_wt","seed_plasma","OK",2.15963,0.378395,-2.51282,-1.90632,0.01085,0.0273258,"yes"
"29517","Sobic.009G109300.v3.2","seed_wt","seed_plasma","OK",5.97412,1.28242,-2.21985,-2.54598,0.00035,0.00134022,"yes"
"29540","Sobic.009G111400.v3.2","seed_wt","seed_plasma","OK",4.0356,1.47955,-1.44762,-2.10843,0.00075,0.00264828,"yes"
"29597","Sobic.009G116766.v3.2","seed_wt","seed_plasma","OK",3.78101,0.792977,-2.25342,-1.55544,0.0211,0.0483923,"yes"
"29612","Sobic.009G118400.v3.2","seed_wt","seed_plasma","OK",9.59486,3.3203,-1.53095,-1.97166,0.002,0.00628084,"yes"
"29616","Sobic.009G118900.v3.2","seed_wt","seed_plasma","OK",10.2766,3.95341,-1.37819,-2.41216,5e-05,0.000226883,"yes"
"29622","Sobic.009G119501.v3.2","seed_wt","seed_plasma","OK",62.0473,20.8394,-1.57406,-2.47646,5e-05,0.000226883,"yes"
"29628","Sobic.009G120100.v3.2","seed_wt","seed_plasma","OK",44.8671,17.1422,-1.3881,-2.44953,5e-05,0.000226883,"yes"
"29656","Sobic.009G122600.v3.2","seed_wt","seed_plasma","OK",3.24183,0.717319,-2.17612,-1.97513,0.0065,0.0175239,"yes"
"29660","Sobic.009G123000.v3.2","seed_wt","seed_plasma","OK",12.6224,0.539061,-4.54939,-3.86147,0.00075,0.00264828,"yes"
"29662","Sobic.009G123300.v3.2","seed_wt","seed_plasma","OK",6.57287,2.79418,-1.2341,-1.76095,0.00315,0.00935673,"yes"
"29671","Sobic.009G124000.v3.2","seed_wt","seed_plasma","OK",18.8472,9.1988,-1.03483,-1.75328,0.00265,0.00804547,"yes"
"29678","Sobic.009G124800.v3.2","seed_wt","seed_plasma","OK",5.07172,1.15083,-2.1398,-2.51448,5e-05,0.000226883,"yes"
"29692","Sobic.009G126000.v3.2","seed_wt","seed_plasma","OK",7.85414,3.91386,-1.00486,-1.6557,0.00565,0.0155329,"yes"
"29707","Sobic.009G127500.v3.2","seed_wt","seed_plasma","OK",4.64965,1.66481,-1.48177,-2.09727,0.00115,0.00386197,"yes"
